sample_index,stamp,residual_x_m,residual_y_m,residual_z_m,residual_roll_rad,residual_pitch_rad,residual_yaw_rad,translation_residual_m,rotation_residual_deg,arm_before_dt_s,arm_after_dt_s,arm_alpha,head_id2_reprojection_error_px,head_id2_distance_m,head_id2_view_angle_deg
103,1779190836.902862549,0.00408743234,0.00169194118,0.00511720609,-0.00965297426,-0.0117918792,0.00805077093,0.00676428609,0.98748946,0.0497994423,0.016951561,0.746047847,0.224400332,0.664625148,20.5292463
104,1779190837.169708967,0.00244557632,0.00198174649,-0.00179566915,-0.0108985346,0.0207481955,0.0044269812,0.00362389161,1.36655399,0.0162627697,0.0171134472,0.487256233,0.309674387,0.653384638,18.0296564
105,1779190837.203064919,0.00336556149,0.00162056926,0.00216005922,-0.0034065716,0.0148113103,0.00363619687,0.00431498606,0.895358288,0.0162425041,0.0171501637,0.486409299,0.0455516871,0.652898025,17.9022264
106,1779190837.569903135,0.00168574529,0.0022468277,-3.71427653e-05,-0.0322925749,-0.00598980214,0.00805630995,0.00280915495,1.93757372,0.0161485672,0.0172052383,0.484159661,0.147663142,0.637723252,16.2795134
107,1779190839.804215908,0.00080442543,0.0012678899,-0.00268670239,-0.00516214882,-0.00280399811,0.00544771817,0.00307782631,0.459038321,0.015740633,0.017616272,0.471885297,0.324618874,0.595260188,2.3691514
108,1779190840.104488850,0.00258473076,0.00198292189,-0.00198557253,-0.000935375301,-0.015726719,0.00151780992,0.00381514228,0.906846431,0.0158009529,0.0175561905,0.473690229,0.439713837,0.586057551,2.30728335
109,1779190840.904917479,0.0023659677,0.00458643034,-0.0029129493,0.0331741645,-0.0268232873,0.0120228913,0.00592607966,2.53954379,0.0154628754,0.0179052353,0.463402784,0.0996434303,0.565304932,8.00954343
110,1779190840.971608162,-0.000135501679,0.00179085101,-0.000979051563,-0.00129870661,0.0327468812,0.0112849617,0.00204549505,1.98593753,0.0154173374,0.0179510117,0.462034768,0.174693754,0.567007399,6.13078647
111,1779190841.138333082,0.00139154953,0.00123728188,-0.00247221737,0.00262422594,-0.0289531925,0.00530109557,0.00309501782,1.69316109,0.0153002739,0.0180683136,0.458523271,0.0679963897,0.557998683,7.79180951
112,1779190841.171677828,-0.00168467022,-0.00172007719,-0.00308297363,-0.00422170449,0.0420992631,-0.00334567491,0.0039117139,2.43177509,0.015276432,0.0180921555,0.457808771,0.322775455,0.558704631,7.68716352
113,1779190841.238366842,0.000162512625,-0.00142440801,-0.00250788833,0.0185104059,0.026059934,-0.0042376033,0.00288874582,1.84747802,0.0152282715,0.0181405544,0.45636222,0.408039517,0.558872051,9.40904852
114,1779190841.705343246,-0.0180962817,0.00798998646,-0.0004217395,-0.00013843762,0.0330960377,0.0121256502,0.0197861861,2.01954276,0.0486023426,0.0181026459,0.728616311,0.142884448,0.542405554,12.4923984
115,1779190841.772060394,-0.0247544461,-0.00515662214,0.00505740235,-0.0236462251,-0.0318553284,-0.013686886,0.0257866375,2.40453721,0.048614502,0.0180902481,0.728801201,0.146573739,0.538772214,13.0316175
116,1779190841.838777304,-0.0188483223,0.00517078967,0.00275226296,-0.0402887702,0.0535242192,0.00767863854,0.0197375599,3.86353243,0.0486266613,0.0180778503,0.728986093,0.189607155,0.538210865,12.3161096
117,1779190842.105648756,7.94170133e-05,-0.000557911628,-0.0032400365,0.0296078595,-0.00296489224,-0.00481582526,0.00328867891,1.72707396,0.0153286457,0.0180230141,0.459606683,0.0254280933,0.524267559,17.9460277
118,1779190842.139007807,-0.000375126924,-0.000878364029,-0.000911457587,0.0104043941,-0.00157394157,0.00182839331,0.00132022669,0.611943954,0.0153360367,0.0180160999,0.459821716,0.363892605,0.523864205,17.3437139
119,1779190842.172366858,-0.000431989612,0.00139708505,-0.000270674781,0.0315971776,0.0140922503,0.00402906885,0.00148718745,1.99567586,0.0153429508,0.0180089474,0.460032312,0.452081235,0.523533637,18.8631427
120,1779190842.205726385,-0.000145293398,0.000208218706,0.000335360793,0.00597561956,-0.0379627465,0.0033376651,0.000420632931,2.21017544,0.0153505802,0.0180010796,0.460264356,0.34959256,0.522181185,17.3766604
121,1779190842.272444963,-0.000785318064,-0.00144454291,-0.00118410657,0.0159426207,-0.0161265469,-0.00425607221,0.00202621249,1.32196502,0.015365839,0.0179924965,0.460629668,0.212208706,0.519883813,18.9284966
122,1779190842.339162827,-0.00378269782,-0.00562921426,0.000122907671,0.0172495397,0.0130566199,-0.0130409918,0.0067832118,1.44731612,0.0487253666,0.0179915428,0.730330092,0.27972827,0.519226854,20.7608084
123,1779190842.405872107,-0.00361628493,-0.00600535819,0.000538419383,-0.0129473882,0.0335497103,-0.0167210874,0.00703077088,2.27227628,0.0487177372,0.0179989338,0.730218347,0.155391726,0.518406636,20.171723
124,1779190842.539289951,-0.000945064808,-0.00155051772,-0.00377960482,-0.0117767669,-0.0193858435,-0.00287485913,0.00419316888,1.31001758,0.0487020016,0.0180146694,0.729982489,0.386648538,0.517175559,19.9574618
125,1779190842.605998755,-0.00440397998,-0.00600828406,0.00256849037,-0.00945874813,-0.0017823126,-0.0155040773,0.00787982612,1.04558278,0.0153355598,0.0180227757,0.459721974,0.250045027,0.517502067,21.5257828
126,1779190842.639353037,-0.00136937864,-0.00273738058,-0.000178787527,-0.019749401,0.0133202833,-0.0125347624,0.00306600966,1.54229879,0.0153315067,0.0180268288,0.459600472,0.0891211256,0.517577789,20.6930563
127,1779190842.772769928,0.000435643613,-7.43522493e-05,-0.00232071951,-0.00789467454,-0.0182737461,0.00109846583,0.00236242516,1.14227483,0.0153150558,0.0180432796,0.459107315,0.436440991,0.514283786,21.7934372
128,1779190842.972894192,-0.00217827791,-0.0036486754,-0.000644281064,-0.0190472213,0.00778476844,-0.0100304429,0.00429800243,1.31157166,0.0152895451,0.0180690289,0.458339289,0.36837995,0.510980667,23.2019816
129,1779190843.006248236,0.000699966351,-0.000810838698,-0.00252246052,0.0172516557,0.00215177901,-0.00183881722,0.00274047795,1.00166235,0.0152850151,0.018073082,0.458210043,0.443837114,0.509133305,24.5176756
130,1779190843.072956085,0.000828412919,0.000134203266,-0.00646494635,0.0203551388,0.00674015272,0.000560877629,0.00651918782,1.22895897,0.015276432,0.018081665,0.457952742,0.458994634,0.508495886,24.5683172
